44 408 341
194 273 11 0
196 271 11 0
200 270 11 0
198 268 11 0
190 260 10 0
185 259 10 0
190 257 10 0
189 256 10 0
191 241 9 0
183 237 9 0
188 236 9 0
190 233 9 0
293 218 8 0
290 218 8 0
292 217 8 0
293 215 8 0
272 186 7 0
273 185 7 0
275 184 7 0
276 183 7 0
151 186 6 0
148 184 6 0
154 183 6 0
154 182 6 0
250 164 5 1
246 163 5 1
250 159 5 1
243 158 5 1
182 160 4 1
181 160 4 1
186 154 4 1
183 152 4 1
214 149 3 1
218 147 3 1
217 146 3 1
217 144 3 1
238 114 2 0
237 114 2 0
235 109 2 0
236 107 2 0
64 92 1 0
66 91 1 0
62 91 1 0
67 90 1 0
