44 408 341
257 320 11 0
256 318 11 0
251 315 11 0
249 315 11 0
257 226 10 0
262 224 10 0
263 223 10 0
260 220 10 0
204 190 9 1
204 189 9 1
201 189 9 1
206 186 9 1
248 180 8 1
248 179 8 1
255 175 8 1
248 174 8 1
274 149 7 1
268 148 7 1
272 146 7 1
274 144 7 1
207 139 6 0
205 138 6 0
201 137 6 0
201 133 6 0
311 125 5 0
316 124 5 0
312 122 5 0
315 119 5 0
265 97 4 0
264 97 4 0
267 92 4 0
261 90 4 0
388 97 3 0
390 96 3 0
385 91 3 0
384 91 3 0
254 64 2 0
253 62 2 0
255 58 2 0
253 55 2 0
27 9 1 0
30 6 1 0
31 2 1 0
28 0 1 0
