11733 408 341
92 320 -1 0
91 320 -1 0
90 320 -1 0
86 320 -1 0
77 320 -1 0
76 320 -1 0
74 320 -1 0
69 320 -1 0
97 319 -1 0
95 319 -1 0
94 319 -1 0
93 319 -1 0
92 319 -1 0
91 319 -1 0
90 319 -1 0
89 319 -1 0
88 319 -1 0
87 319 -1 0
86 319 -1 0
85 319 -1 0
84 319 -1 0
83 319 -1 0
80 319 -1 0
79 319 -1 0
78 319 -1 0
77 319 -1 0
76 319 -1 0
75 319 -1 0
74 319 -1 0
73 319 -1 0
72 319 -1 0
71 319 -1 0
70 319 -1 0
69 319 -1 0
68 319 -1 0
67 319 -1 0
66 319 -1 0
64 319 -1 0
63 319 -1 0
61 319 -1 0
100 318 -1 0
99 318 -1 0
98 318 -1 0
97 318 -1 0
96 318 -1 0
95 318 -1 0
94 318 -1 0
93 318 -1 0
92 318 -1 0
91 318 -1 0
90 318 -1 0
89 318 -1 0
88 318 -1 0
87 318 -1 0
86 318 -1 0
85 318 -1 0
84 318 -1 0
83 318 -1 0
82 318 -1 0
81 318 -1 0
80 318 -1 0
79 318 -1 0
78 318 -1 0
77 318 -1 0
76 318 -1 0
75 318 -1 0
74 318 -1 0
73 318 -1 0
72 318 -1 0
71 318 -1 0
70 318 -1 0
69 318 -1 0
68 318 -1 0
67 318 -1 0
66 318 -1 0
65 318 -1 0
64 318 -1 0
63 318 -1 0
62 318 -1 0
61 318 -1 0
60 318 -1 0
59 318 -1 0
58 318 -1 0
101 317 -1 0
100 317 -1 0
99 317 -1 0
98 317 -1 0
97 317 -1 0
96 317 -1 0
95 317 -1 0
94 317 -1 0
93 317 -1 0
92 317 -1 0
91 317 -1 0
90 317 -1 0
89 317 -1 0
88 317 -1 0
87 317 -1 0
86 317 -1 0
85 317 -1 0
84 317 -1 0
83 317 -1 0
82 317 -1 0
81 317 -1 0
80 317 -1 0
79 317 -1 0
78 317 -1 0
77 317 -1 0
76 317 -1 0
75 317 -1 0
74 317 -1 0
73 317 -1 0
72 317 -1 0
71 317 -1 0
70 317 -1 0
69 317 -1 0
68 317 -1 0
67 317 -1 0
66 317 -1 0
65 317 -1 0
64 317 -1 0
63 317 -1 0
62 317 -1 0
61 317 -1 0
60 317 -1 0
59 317 -1 0
58 317 -1 0
57 317 -1 0
56 317 -1 0
55 317 -1 0
101 316 -1 0
100 316 -1 0
99 316 -1 0
98 316 -1 0
97 316 -1 0
96 316 -1 0
95 316 -1 0
94 316 -1 0
93 316 -1 0
92 316 -1 0
91 316 -1 0
90 316 -1 0
89 316 -1 0
88 316 -1 0
87 316 -1 0
86 316 -1 0
85 316 -1 0
84 316 -1 0
83 316 -1 0
82 316 -1 0
81 316 -1 0
80 316 -1 0
79 316 -1 0
78 316 -1 0
77 316 -1 0
76 316 -1 0
75 316 -1 0
74 316 -1 0
73 316 -1 0
72 316 -1 0
71 316 -1 0
70 316 -1 0
69 316 -1 0
68 316 -1 0
67 316 -1 0
66 316 -1 0
65 316 -1 0
64 316 -1 0
63 316 -1 0
62 316 -1 0
61 316 -1 0
60 316 -1 0
59 316 -1 0
58 316 -1 0
57 316 -1 0
56 316 -1 0
55 316 -1 0
54 316 -1 0
104 315 -1 0
103 315 -1 0
102 315 -1 0
101 315 -1 0
100 315 -1 0
99 315 -1 0
98 315 -1 0
97 315 -1 0
96 315 -1 0
95 315 -1 0
94 315 -1 0
93 315 -1 0
92 315 -1 0
91 315 -1 0
90 315 -1 0
89 315 -1 0
88 315 -1 0
87 315 -1 0
86 315 -1 0
85 315 -1 0
84 315 -1 0
83 315 -1 0
82 315 -1 0
81 315 -1 0
80 315 -1 0
79 315 -1 0
78 315 -1 0
77 315 -1 0
76 315 -1 0
75 315 -1 0
74 315 -1 0
73 315 -1 0
72 315 -1 0
71 315 -1 0
70 315 -1 0
69 315 -1 0
68 315 -1 0
67 315 -1 0
66 315 -1 0
65 315 -1 0
64 315 -1 0
63 315 -1 0
62 315 -1 0
61 315 -1 0
60 315 -1 0
59 315 -1 0
58 315 -1 0
57 315 -1 0
56 315 -1 0
55 315 -1 0
54 315 -1 0
53 315 -1 0
105 314 -1 0
104 314 -1 0
103 314 -1 0
102 314 -1 0
101 314 -1 0
100 314 -1 0
99 314 -1 0
98 314 -1 0
97 314 -1 0
96 314 -1 0
95 314 -1 0
94 314 -1 0
93 314 -1 0
92 314 -1 0
91 314 -1 0
90 314 -1 0
89 314 -1 0
88 314 -1 0
87 314 -1 0
86 314 -1 0
85 314 -1 0
84 314 -1 0
83 314 -1 0
82 314 -1 0
81 314 -1 0
80 314 -1 0
79 314 -1 0
78 314 -1 0
77 314 -1 0
76 314 -1 0
75 314 -1 0
74 314 -1 0
73 314 -1 0
72 314 -1 0
71 314 -1 0
70 314 -1 0
69 314 -1 0
68 314 -1 0
67 314 -1 0
66 314 -1 0
65 314 -1 0
64 314 -1 0
63 314 -1 0
62 314 -1 0
61 314 -1 0
60 314 -1 0
59 314 -1 0
58 314 -1 0
57 314 -1 0
56 314 -1 0
55 314 -1 0
54 314 -1 0
53 314 -1 0
105 313 -1 0
104 313 -1 0
103 313 -1 0
102 313 -1 0
101 313 -1 0
100 313 -1 0
99 313 -1 0
98 313 -1 0
97 313 -1 0
96 313 -1 0
95 313 -1 0
94 313 -1 0
