567 408 341
156 199 -1 0
159 198 -1 0
158 198 -1 0
157 198 -1 0
156 198 -1 0
155 198 -1 0
154 198 -1 0
153 198 -1 0
160 197 -1 0
159 197 -1 0
158 197 -1 0
157 197 -1 0
156 197 -1 0
155 197 -1 0
154 197 -1 0
153 197 -1 0
152 197 -1 0
160 196 -1 0
159 196 -1 0
158 196 -1 0
157 196 -1 0
156 196 -1 0
155 196 -1 0
154 196 -1 0
153 196 -1 0
152 196 -1 0
160 195 -1 0
159 195 -1 0
158 195 -1 0
157 195 -1 0
156 195 -1 0
155 195 -1 0
154 195 -1 0
153 195 -1 0
152 195 -1 0
161 194 -1 0
160 194 -1 0
159 194 -1 0
158 194 -1 0
157 194 -1 0
156 194 -1 0
155 194 -1 0
154 194 -1 0
153 194 -1 0
152 194 -1 0
151 194 -1 0
160 193 -1 0
159 193 -1 0
158 193 -1 0
157 193 -1 0
156 193 -1 0
155 193 -1 0
154 193 -1 0
153 193 -1 0
152 193 -1 0
160 192 -1 0
159 192 -1 0
158 192 -1 0
157 192 -1 0
156 192 -1 0
155 192 -1 0
154 192 -1 0
153 192 -1 0
152 192 -1 0
160 191 -1 0
159 191 -1 0
158 191 -1 0
157 191 -1 0
156 191 -1 0
155 191 -1 0
154 191 -1 0
153 191 -1 0
152 191 -1 0
159 190 -1 0
158 190 -1 0
157 190 -1 0
156 190 -1 0
155 190 -1 0
154 190 -1 0
153 190 -1 0
156 189 -1 0
135 159 -1 1
138 158 -1 1
137 158 -1 1
136 158 -1 1
135 158 -1 1
134 158 -1 1
133 158 -1 1
132 158 -1 1
139 157 -1 1
138 157 -1 1
137 157 -1 1
136 157 -1 1
135 157 -1 1
134 157 -1 1
133 157 -1 1
132 157 -1 1
131 157 -1 1
139 156 -1 1
138 156 -1 1
137 156 -1 1
136 156 -1 1
135 156 -1 1
134 156 -1 1
133 156 -1 1
132 156 -1 1
131 156 -1 1
139 155 -1 1
138 155 -1 1
137 155 -1 1
136 155 -1 1
135 155 -1 1
134 155 -1 1
133 155 -1 1
132 155 -1 1
131 155 -1 1
140 154 -1 1
139 154 -1 1
138 154 -1 1
137 154 -1 1
136 154 -1 1
135 154 -1 1
134 154 -1 1
133 154 -1 1
132 154 -1 1
131 154 -1 1
130 154 -1 1
139 153 -1 1
138 153 -1 1
137 153 -1 1
136 153 -1 1
135 153 -1 1
134 153 -1 1
133 153 -1 1
132 153 -1 1
131 153 -1 1
139 152 -1 1
138 152 -1 1
137 152 -1 1
136 152 -1 1
135 152 -1 1
134 152 -1 1
133 152 -1 1
132 152 -1 1
131 152 -1 1
139 151 -1 1
138 151 -1 1
137 151 -1 1
136 151 -1 1
135 151 -1 1
134 151 -1 1
133 151 -1 1
132 151 -1 1
131 151 -1 1
201 150 -1 1
138 150 -1 1
137 150 -1 1
136 150 -1 1
135 150 -1 1
134 150 -1 1
133 150 -1 1
132 150 -1 1
204 149 -1 1
203 149 -1 1
202 149 -1 1
201 149 -1 1
200 149 -1 1
199 149 -1 1
198 149 -1 1
135 149 -1 1
205 148 -1 1
204 148 -1 1
203 148 -1 1
202 148 -1 1
201 148 -1 1
200 148 -1 1
199 148 -1 1
198 148 -1 1
197 148 -1 1
205 147 -1 1
204 147 -1 1
203 147 -1 1
202 147 -1 1
201 147 -1 1
200 147 -1 1
199 147 -1 1
198 147 -1 1
197 147 -1 1
205 146 -1 1
204 146 -1 1
203 146 -1 1
202 146 -1 1
201 146 -1 1
200 146 -1 1
199 146 -1 1
198 146 -1 1
