729 408 341
269 211 -1 0
272 210 -1 0
271 210 -1 0
270 210 -1 0
269 210 -1 0
268 210 -1 0
267 210 -1 0
266 210 -1 0
273 209 -1 0
272 209 -1 0
271 209 -1 0
270 209 -1 0
269 209 -1 0
268 209 -1 0
267 209 -1 0
266 209 -1 0
265 209 -1 0
273 208 -1 0
272 208 -1 0
271 208 -1 0
270 208 -1 0
269 208 -1 0
268 208 -1 0
267 208 -1 0
266 208 -1 0
265 208 -1 0
273 207 -1 0
272 207 -1 0
271 207 -1 0
270 207 -1 0
269 207 -1 0
268 207 -1 0
267 207 -1 0
266 207 -1 0
265 207 -1 0
274 206 -1 0
273 206 -1 0
272 206 -1 0
271 206 -1 0
270 206 -1 0
269 206 -1 0
268 206 -1 0
267 206 -1 0
266 206 -1 0
265 206 -1 0
264 206 -1 0
273 205 -1 0
272 205 -1 0
271 205 -1 0
270 205 -1 0
269 205 -1 0
268 205 -1 0
267 205 -1 0
266 205 -1 0
265 205 -1 0
273 204 -1 0
272 204 -1 0
271 204 -1 0
270 204 -1 0
269 204 -1 0
268 204 -1 0
267 204 -1 0
266 204 -1 0
265 204 -1 0
273 203 -1 0
272 203 -1 0
271 203 -1 0
270 203 -1 0
269 203 -1 0
268 203 -1 0
267 203 -1 0
266 203 -1 0
265 203 -1 0
272 202 -1 0
271 202 -1 0
270 202 -1 0
269 202 -1 0
268 202 -1 0
267 202 -1 0
266 202 -1 0
269 201 -1 0
221 195 -1 1
224 194 -1 1
223 194 -1 1
222 194 -1 1
221 194 -1 1
220 194 -1 1
219 194 -1 1
218 194 -1 1
225 193 -1 1
224 193 -1 1
223 193 -1 1
222 193 -1 1
221 193 -1 1
220 193 -1 1
219 193 -1 1
218 193 -1 1
217 193 -1 1
225 192 -1 1
224 192 -1 1
223 192 -1 1
222 192 -1 1
221 192 -1 1
220 192 -1 1
219 192 -1 1
218 192 -1 1
217 192 -1 1
225 191 -1 1
224 191 -1 1
223 191 -1 1
222 191 -1 1
221 191 -1 1
220 191 -1 1
219 191 -1 1
218 191 -1 1
217 191 -1 1
226 190 -1 1
225 190 -1 1
224 190 -1 1
223 190 -1 1
222 190 -1 1
221 190 -1 1
220 190 -1 1
219 190 -1 1
218 190 -1 1
217 190 -1 1
216 190 -1 1
225 189 -1 1
224 189 -1 1
223 189 -1 1
222 189 -1 1
221 189 -1 1
220 189 -1 1
219 189 -1 1
218 189 -1 1
217 189 -1 1
225 188 -1 1
224 188 -1 1
223 188 -1 1
222 188 -1 1
221 188 -1 1
220 188 -1 1
219 188 -1 1
218 188 -1 1
217 188 -1 1
225 187 -1 1
224 187 -1 1
223 187 -1 1
222 187 -1 1
221 187 -1 1
220 187 -1 1
219 187 -1 1
218 187 -1 1
217 187 -1 1
224 186 -1 1
223 186 -1 1
222 186 -1 1
221 186 -1 1
220 186 -1 1
219 186 -1 1
218 186 -1 1
221 185 -1 1
242 184 -1 1
245 183 -1 1
244 183 -1 1
243 183 -1 1
242 183 -1 1
241 183 -1 1
240 183 -1 1
239 183 -1 1
246 182 -1 1
245 182 -1 1
244 182 -1 1
243 182 -1 1
242 182 -1 1
241 182 -1 1
240 182 -1 1
239 182 -1 1
238 182 -1 1
246 181 -1 1
245 181 -1 1
244 181 -1 1
243 181 -1 1
242 181 -1 1
241 181 -1 1
240 181 -1 1
239 181 -1 1
238 181 -1 1
246 180 -1 1
245 180 -1 1
244 180 -1 1
243 180 -1 1
242 180 -1 1
241 180 -1 1
240 180 -1 1
239 180 -1 1
238 180 -1 1
247 179 -1 1
246 179 -1 1
245 179 -1 1
244 179 -1 1
243 179 -1 1
242 179 -1 1
